ASPL,assortativity,average_degree,density,hx1,hx2,hx3,hx4,hx5,transitivity
2.5912979798,-0.15987733224999992,5.820000000000011,0.05878788000000009,3.287669310127113,3.3732564091633597,3.383791205578028,3.387042303832787,3.373566158545454,0.0967814677
2.221270706499999,-0.11697847299999996,9.5,0.0959596000000002,3.3209569209784227,3.375347975067605,3.381166582722989,3.384662831915493,,0.15645737344999994
1.9524767672500003,-0.08872516624999996,14.719999999999956,0.14868686999999958,3.3396886012309253,3.3750721446215604,3.378974574160675,,,0.22467207875000014
1.8273666670499993,-0.08346711020000003,19.57999999999995,0.19777778,3.34628490122563,3.373475152287754,3.3768505099719914,,,0.28019152189999985
1.7456454555499992,-0.08158427430000005,25.5,0.25757576000000115,3.353087850727823,3.3743335340525222,3.38048075044,,,0.3401913822500001
1.702633331150001,-0.09118797145000002,29.520000000000124,0.2981818200000016,3.3563904684335375,3.374343018193223,3.3786474682315113,,,0.3806754206000001
1.6423646442500035,-0.11875455585000008,35.42000000000006,0.3577777800000001,3.3579840122299243,3.3727867516322494,3.371002195769231,,,0.43921321174999994
1.5927535326000057,-0.15846801935,40.319999999999894,0.4072727300000014,3.35957050864405,3.372459073089306,3.390801386923076,,,0.48793752595000006
1.5467151547999984,-0.21804097020000004,44.88000000000002,0.45333333000000164,3.3604894064020643,3.371791455096577,3.384353614761904,,,0.537019454
1.4949494900000053,-0.40270105505000003,50.0,0.5050505100000003,3.3622917274654993,3.372147894282182,,,,0.6127825618999999
