degree,h_avg
0.0,2.6752969445283017
1.0,2.6759058338666666
2.0,2.6760361990236508
3.0,2.6764138509284954
4.0,2.6770976331996956
5.0,2.677055387237417
6.0,2.6767556240536017
7.0,2.676562266692856
8.0,2.6770559219958794
9.0,2.677014288386932
10.0,2.6770960255626273
11.0,2.6774816260860863
12.0,2.6777044496934868
13.0,2.677170112214358
14.0,2.676769994489743
15.0,2.677222813329177
16.0,2.676938486929293
17.0,2.676733749709346
18.0,2.6773858065570453
19.0,2.6759532102228976
20.0,2.676870076980362
21.0,2.6768758203735277
22.0,2.6762965259286435
23.0,2.6767308921228334
24.0,2.677033990494927
25.0,2.677885650191249
26.0,2.677018799839858
27.0,2.6780366424055875
28.0,2.676788485508703
29.0,2.676867531802993
30.0,2.676837110393917
31.0,2.6764474481677816
32.0,2.6766274671413908
33.0,2.6770734431946175
34.0,2.6764730808473725
35.0,2.675992360495619
36.0,2.6776544616348086
37.0,2.6769929960179484
38.0,2.676696679902059
39.0,2.676795360095694
40.0,2.677138382816973
41.0,2.6772484510130954
42.0,2.676291347707293
43.0,2.6764675311683073
44.0,2.677393463286385
45.0,2.6773812207918675
46.0,2.6769495590785537
47.0,2.676627078709117
48.0,2.6772493702688007
49.0,2.6778070145878132
50.0,2.6763591130373134
51.0,2.6776725650872817
52.0,2.6772855112005582
53.0,2.678039441058952
54.0,2.677433250061017
55.0,2.6770905651419032
56.0,2.676210930271116
57.0,2.678926897222222
58.0,2.676965819648033
59.0,2.677049215664557
60.0,2.6770498273469383
61.0,2.678012650774648
62.0,2.6789525364556965
63.0,2.677089403888889
64.0,2.676056063214286
65.0,2.6754016712500004
66.0,2.6989664325
67.0,2.697533704285714
68.0,2.697541385
69.0,2.65220655
71.0,2.65885435
