h_avg,h_std
2.6620701634744495,0.033368046595474175
2.6697917075101003,0.02983162894187236
2.6725838643884,0.02892528329603383
2.6737172564809,0.0284746277114238
2.674471971532351,0.02827366634419185
2.6750641193697007,0.028051702650071113
2.6749986591534998,0.027880420810165996
2.6755292517675,0.02789934529602436
2.67582532440515,0.027775498964877812
2.6757859653954505,0.027775538797012212
2.6757586927564994,0.027736289051643697
2.676021183273,0.027728095826179095
2.6760740458531,0.02762228545445786
2.6760967907019007,0.027589340583286447
2.6763044411833,0.027649447103570736
2.6761999925935998,0.027584920941864127
2.6763963758034004,0.027596473549602592
2.67646553299845,0.02756962364941419
2.6765468600237505,0.027569771530131352
2.67642697586635,0.027544156649906684
2.6766246033492505,0.02753266831921132
2.6764074325060503,0.027588619795288035
2.6765560654427,0.027536718226899234
2.6764742913357797,0.027526222588837287
2.6764473823107506,0.027484974237653465
