,density,network,peak_size_prop
0,0.0004264030389019999,Web of Trust,0.3362996254681647
1,0.0015537345342493286,Arxiv,0.46746512746512764
2,0.0032448880211024796,Adolescent health,0.673934619929106
3,0.007725692408550921,UC Irvine,0.6325779186476492
4,0.0085017730219967,Email Spain,0.6412886142983232
5,0.012759838617358406,Network science,0.4131398416886546
6,0.03219349457881568,CKM physicians,0.4123636363636363
7,0.034363319982290134,Email EU Core,0.7550405679513186
8,0.08038075092543628,Terrorist,0.44564516129032244
9,0.08408249603384453,Dolphins,0.4879032258064515
10,0.08680792891319207,Les Miserables,0.5848051948051949
11,0.21322537112010798,Kapferer tailor,0.6541025641025641
12,0.29554655870445345,Hollywood music,0.7051282051282048
13,0.31333333333333335,Sampson's monastery,0.7240000000000003
14,0.4134680134680135,Golden Age,0.8254545454545453
15,0.4274193548387097,NFL,0.843125
16,0.45830485304169516,Intra-organizational,0.9255844155844158
17,0.7397504456327986,Freeman's EIES,0.9294117647058812
