mu,hx_w1,hx_w2,hx_w3,hx_w4,hx_w5,hx_b1,hx_b2,hx_b3,hx_b4,hx_b5
0.05,3.365916049512194,3.375866996188626,3.37671607485115,3.3748375992344752,3.3708792239037435,3.376260735833333,3.377238448859648,3.376354032838552,3.3760149106307544,3.374718579941311
0.1,3.3697178816265074,3.3765726612473683,3.3774195599843693,3.377040579517291,3.379006447418574,3.373652078275861,3.3755132412063955,3.3775450416224047,3.377266783729486,3.3767344674413775
0.15000000000000002,3.36874246218501,3.378915733904084,3.3781648137216655,3.3787309146158524,3.3795842076424205,3.3594284827722776,3.378385387308098,3.378554290325617,3.378321246564137,3.37801218931124
0.2,3.367250266742958,3.3781982054018047,3.3781401099650683,3.377385113211877,3.378074684862787,3.3601220006849317,3.377413424152358,3.3778321224375616,3.3776235061391855,3.3752293132973783
0.25,3.365794355599315,3.3759694491362877,3.3776950393177887,3.377981875452053,3.3771395868619005,3.3673714635260117,3.3772814236643227,3.377615210232785,3.377768030367577,3.37756863710918
0.3,3.3684520612382727,3.378028339511302,3.378374974368153,3.3782300462387846,3.382124119525219,3.3693261255128193,3.3768969962751454,3.3783694955281893,3.3780954745294927,3.3798352231259257
0.35000000000000003,3.3657579542640694,3.3774502171683034,3.3777762276697048,3.378587324877366,3.3804277238663603,3.3728231523076904,3.377111501328672,3.3774567512023883,3.37836933279446,3.3794559460304345
0.4,3.369088881809746,3.377287983872894,3.376624103041247,3.376880446270812,3.3786039152024365,3.3641967617263853,3.3771251415706516,3.376478547632233,3.377146716577012,3.3773100494104495
0.45,3.3702796822463754,3.377271355296131,3.3760285236675944,3.3757442407112617,3.3739056918507018,3.367835095674932,3.3771536276919,3.376272554285767,3.3759506213381845,3.3726892691798405
0.5,3.3664814022689122,3.379824710441579,3.3792402088013453,3.3794188958706557,3.379051162073754,3.3710191891666677,3.3771828068068186,3.378850392194992,3.379247821671156,3.3792224069289247
