hx_all,hx_b,hx_w,mu
3.362582669061603,3.3782860884096153,3.360550412128578,0.05
3.36123541514001,3.375248232380381,3.360910390755107,0.1
3.36098489120504,3.373902422003981,3.3617779073146967,0.15000000000000002
3.3628680486597697,3.3747621019115996,3.3647197018738697,0.2
3.361423472130982,3.372946071759211,3.3636644978836947,0.25
3.36137434276002,3.3714383490196185,3.3650508698399864,0.3
3.3623109774948015,3.372406724670004,3.365981230827763,0.35000000000000003
3.3612354258654022,3.3702121142343997,3.3660562746391807,0.4
3.3615013835281626,3.370541803986423,3.3662740661693875,0.45
3.360640448077979,3.3684528704271592,3.3665984591428395,0.5
