hx_all,hx_all2,hx_b,hx_b2,hx_w,hx_w2,mu,n_all,n_b,n_w
3.3776145235603225,11.410757948880509,3.3776590940001885,11.411054204937292,3.377569804055133,11.410460701999211,0.05,1254905.0,628500.0,626405.0
3.3769796694560013,11.406455647273853,3.377090304538684,11.407203992384353,3.3768686643567327,11.40570479933585,0.1,1254905.0,628500.0,626405.0
3.3772625831898933,11.40836570396501,3.3773041797814196,11.408647584372572,3.3772208474791894,11.408082880813092,0.15000000000000002,1254905.0,628500.0,626405.0
3.3769759111130915,11.406434433007224,3.377059525472035,11.4070009746733,3.376892017107606,11.405865996552505,0.2,1254905.0,628500.0,626405.0
3.377963658404809,11.413118197835564,3.378041288929832,11.413641746024354,3.3778857682459944,11.412592898649965,0.25,1254905.0,628500.0,626405.0
3.377257198328513,11.408337282944125,3.3772296198469935,11.408146465026192,3.3772848690455772,11.408528739048869,0.3,1254905.0,628500.0,626405.0
3.3773550545426865,11.408996832774115,3.3774398080721593,11.40956980214183,3.3772700175567913,11.40842194712129,0.35000000000000003,1254905.0,628500.0,626405.0
3.377437141371101,11.409557985039235,3.3775332336104573,11.410208984000374,3.3773407277530922,11.408904808824133,0.4,1250113.0,626100.0,624013.0
3.377312847821161,11.40872921937794,3.377316042455998,11.408751799855743,3.377309642501998,11.408706563380465,0.45,1244123.0,623100.0,621023.0
3.376996437796515,11.40657605900463,3.3770901411016165,11.407212453811523,3.3769024211025096,11.405937535786464,0.5,1244123.0,623100.0,621023.0
