network,nodes,edges,density,average_degree,max_degree,min_degree,degree_assortativity,transitivity,average_clustering,ASPL,average_hx,average_hxsquared,average_ECC,count
CKM physicians,110.0,241.0,0.04020016680567148,4.381818181818201,11.52,1.0,0.05424589565457134,0.2515260454241614,0.3369332188014005,3.734920211287186,3.2527068241211685,10.5886735315476,0.42892616371442116,118328.0
Dolphins,62.0,198.0,0.10470650449497669,6.387096774193592,15.446666666666667,1.0,-0.06524814996637314,0.3574500606869256,0.42742939062345103,2.9261061166931075,3.2863293685210095,10.807086770567519,0.5495624501631027,102083.0
Email Spain,1133.0,6815.0,0.010627216277495858,12.030008826125263,82.02666666666667,1.0,0.03923200174385676,0.17123638433831367,0.3642409913760471,3.3078599297028735,3.333358331320611,11.117285379206574,0.3746999068681418,300649.0
Freeman's EIES,34.0,518.0,0.9233511586452827,30.470588235293896,33.0,21.476666666666667,-0.09789558536501623,0.933374808964009,0.9352872139377969,1.0766488413547164,3.348076823031114,11.212285704411592,0.974675772844273,310800.0
Golden Age,55.0,767.0,0.5164983164983148,27.890909090909172,47.21333333333333,5.06,-0.07405966460784749,0.6061781607609057,0.6471903927688895,1.5227833894500569,3.3524546841901124,11.24176090204844,0.7919256398696086,337139.0
Kapferer tailor,39.0,197.0,0.26585695006747445,10.10256410256409,27.206666666666667,1.0633333333333332,-0.18919911088293395,0.44759207141963714,0.5501667248164527,1.8761088618983353,3.3161140407245298,11.001031186937578,0.6516212059514488,114930.0
Les Miserables,77.0,317.0,0.1083390293916613,8.2337662337663,42.04,1.0,-0.16005866104725217,0.4673902292032279,0.6635418266593612,2.407452722715883,3.3043852135021794,10.926415481712976,0.8405447209832616,159632.0
Hollywood music,39.0,273.0,0.36842105263157826,14.0,30.51,3.08,-0.10565418191874694,0.5902347525484375,0.6922013613259487,1.6790328385065227,3.3301027090663253,11.092887806788424,0.7938794029997783,162412.0
Sampson's monastery,25.0,117.0,0.3900000000000005,9.360000000000003,17.14666666666667,3.91,-0.11508816451112185,0.526390506200487,0.6032699418217379,1.6742888888888905,3.307121400446726,10.940343505946878,0.687984948717949,70200.0
Terrorist,62.0,190.0,0.10047593865679592,6.129032258064563,25.9,1.0,-0.09519602860940558,0.38822366096192096,0.5670464785609254,2.7147012162876796,3.279823327699533,10.76530725155451,0.7452609775043181,97841.0
