hx_avg,hx_sd,network
3.2911143836072574,0.012722038151658174,Arxiv_ca-GrQc
3.316449069911633,0.00578299621364528,adolescent_health
3.32478572334276,0.007993515562865492,email_network
3.2652446069578946,0.012585253744376728,terrorists
3.274894320785849,0.010782669275973244,dolphins
3.290828076525984,0.011433611341917692,lesmis
3.3065414608541137,0.006692891178131641,kapfdata
3.317656007309817,0.00488166823712597,movies
3.290217281300532,0.005093010581369139,Sampson
3.3207784865434635,0.02142756498882206,GoldenAge
3.3288178943403297,0.0033016732275932014,NFL2009_network
3.343596679046747,0.002931113342640565,Freemans_EIES
