network,num_nodes,num_edges,density,avg_k,max_k,min_k,assortativity,transitivity,num_cc,hx
Arxiv,4158,13428,0.0016,6.5,81,1,0.64,0.63,1,3.291114384
Adolescent health,2539,10455,0.0032,8.2,27,1,0.25,0.14,1,3.31644907
Email (Spain),1133,5452,0.0085,9.6,71,1,0.08,0.17,1,3.324785723
Terrorist,62,152,0.0804,4.9,22,1,-0.08,0.36,1,3.265244607
Dolphins,62,159,0.0841,5.1,12,1,-0.04,0.31,1,3.274894321
Les Miserables,77,254,0.0868,6.6,36,1,-0.17,0.5,1,3.290828077
Kapferer tailor,39,158,0.2132,8.1,24,1,-0.18,0.39,1,3.306541461
Hollywood music,39,219,0.2955,11.2,26,2,-0.08,0.56,1,3.317656007
Sampson's monastery,25,94,0.3133,7.5,14,3,-0.11,0.45,1,3.290217281
Golden Age,55,614,0.4135,22.3,43,4,-0.07,0.53,1,3.320778487
NFL,32,212,0.4274,13.2,15,13,0,0.54,1,3.328817894
Freeman's EIES,34,415,0.7398,24.4,33,9,-0.15,0.82,1,3.343596679
