network,transitivity,average_clustering,diameter,ASPL,Q,average_hx,average_hxsquared,count
CKM physicians,0.029657333333333327,0.026035999999999993,8.586666666666666,3.914970999999997,0.5250426666666669,3.0827004526733934,9.528616993374248,115243.0
Dolphins,0.10757566666666667,0.09487399999999994,5.783333333333333,2.7390600000000003,0.36369966666666653,3.139057257881543,9.875679266380306,94380.0
Email Spain,0.02815400000000001,0.025181000000000002,7.32,3.313712666666668,0.2824183333333332,3.2853370981876653,10.809473253106058,150000.0
Freeman's EIES,0.7411610000000005,0.7552249999999994,2.006666666666667,1.3155376666666654,0.060919333333333325,3.2050229441136002,10.286877967728067,150000.0
Golden Age,0.46744766666666665,0.4937386666666664,3.0,1.6483820000000036,0.12039466666666666,3.2317237967945327,10.455025211920365,150000.0
Kapferer tailor,0.2950049999999998,0.301622,4.18,2.0206370000000002,0.2216296666666666,3.1468763370710304,9.920734144295096,92541.0
Les Miserables,0.1984759999999999,0.19372799999999993,5.3,2.5253276666666666,0.2853616666666669,3.166744596661116,10.054846524352875,148867.0
Hollywood music,0.41839333333333334,0.486696,3.03,1.780298333333333,0.15937999999999997,3.171501895691029,10.074416523006592,126724.0
Sampson's monastery,0.3989610000000002,0.4070559999999999,2.82,1.5825256666666652,0.16936400000000007,3.083021986216926,9.524387556577503,39645.0
Terrorist,0.1406366666666667,0.14188666666666663,5.786666666666667,2.6980940000000007,0.35620633333333346,3.1192583751082767,9.75744692733698,89214.0
